id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.53471,13.4181,Entire home/apt,105,63,149,2025-03-02,0.76,1,250,1,
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.53269,13.41805,Entire home/apt,135,6,7,2020-01-04,0.06,1,193,0,03/Z/RA/003410-18
14325,Studio Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54813,13.40366,Entire home/apt,75,150,26,2023-11-30,0.14,4,262,0,
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50312,13.43508,Entire home/apt,,93,48,2017-12-14,0.26,2,0,0,
17904,Beautiful Kreuzberg studio - 3 months minimum,68997,Matthias,Neukölln,Reuterstraße,52.49419,13.42166,Entire home/apt,28,92,298,2022-12-01,1.60,1,111,0,
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5046,13.43374,Entire home/apt,,93,60,2016-06-05,0.33,2,0,0,
22438,WOHNUNG IN BERLIN ★ MITTE,86159,Javier,Mitte,Brunnenstr. Süd,52.53408,13.38871,Entire home/apt,53,93,182,2023-07-31,1.05,1,52,0,
22677,"""Prenzel Garten"" mit Terrasse",87357,Ramfis,Mitte,Brunnenstr. Süd,52.53355,13.40476,Entire home/apt,164,4,581,2025-06-19,3.25,1,177,71,01/Z/NA/004976-16
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49134,13.37975,Entire home/apt,,185,98,2019-08-31,0.54,1,9,0,
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri,Pankow,Helmholtzplatz,52.54419,13.41956,Entire home/apt,260,180,201,2023-09-27,1.11,1,347,0,03/Z/RA/005604-20
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54804,13.40349,Entire home/apt,70,150,34,2022-02-06,0.19,4,323,0,
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54596,13.42291,Entire home/apt,172,4,494,2025-06-15,2.75,4,242,54,
34854,"Ku'damm-Nähe,sonnig,ruhig,Balkon",145583,Christian,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49546,13.30858,Entire home/apt,82,92,3,2025-01-31,0.23,3,21,2,
37004,WONDERFUL ROOM for a bubble in Berlin Central,159734,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.49376,13.36408,Private room,52,20,37,2024-09-07,0.20,1,58,1,07/Z/AZ/005813-18
37554,More central+calm it won´t get !!,161823,Iván,Mitte,Regierungsviertel,52.50906,13.39374,Entire home/apt,,95,8,2018-06-04,0.07,1,0,0,
37836,Weekend in Berlin Party Center - II,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4987,13.44041,Private room,,2,207,2025-04-10,1.14,2,0,2,02/Z/AZ/019443-24
41217,Beautiful room,179110,Bn,Pankow,Prenzlauer Berg Südwest,52.5378,13.41287,Private room,,92,70,2017-10-08,0.39,1,0,0,
42487,Weekend in Berlin Party Center - I,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49661,13.44038,Private room,54,1,25,2025-06-17,0.15,2,53,8,02/Z/AZ/020539-25
42809,The Berlin Artist Apartment.,186851,Tina,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51099,13.45642,Entire home/apt,200,90,201,2024-12-04,1.15,1,152,1,02/Z/RA/012660-20
55853,Hauptstadt-Domizil,264072,Britta,Charlottenburg-Wilm.,Neue Kantstraße,52.50469,13.29409,Entire home/apt,,192,21,2025-01-28,0.14,1,354,1,
57049,130 sqm with a view on Mauer Park,54283,Marine,Pankow,Prenzlauer Berg Nordwest,52.54758,13.40632,Entire home/apt,290,3,142,2025-05-25,0.80,1,154,13,03/Z/RA/003544-18
58780,"Charming, light 2 rooms in 4 room apartment",281614,Katja,Pankow,Prenzlauer Berg Süd,52.53572,13.42739,Entire home/apt,220,3,77,2025-06-08,0.46,5,310,13,03/Z/RA/007133-22
62613,Super Apartment in Berlin/Kreuzberg,227954,Guidi,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49612,13.42306,Entire home/apt,95,6,36,2025-04-26,0.20,1,307,3,02/Z/AZ/011099-19
64014,"Rooftop apt w/ a view, 2 bedrooms/bathrooms, sauna",312896,Stephan,Mitte,Brunnenstr. Nord,52.54059,13.40301,Entire home/apt,193,3,16,2023-07-29,0.10,1,173,0,01/Z/RA/016060-23
64245,Room w/ balcony and private bathroom in nice area,312373,Christian,Pankow,Prenzlauer Berg Nordwest,52.54994,13.406019,Private room,55,2,126,2025-06-02,0.74,1,4,14,03/Z/AZ/006799-21
64590,Direkt am Kanal! Tolle Wohnung mit Balkon,315681,Mirjam,Neukölln,Reuterstraße,52.49337,13.42555,Entire home/apt,120,3,94,2025-06-09,0.56,1,22,17,08/Z/RA/014104-24
68448,Quiet studio in Prenzlauer Berg near Mauerpark,163384,Alan & Kasia StayBearlin,Pankow,Prenzlauer Berg Nord,52.55004,13.41518,Entire home/apt,132,3,433,2025-06-05,2.53,10,329,33,
69780,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.5488,13.40425,Entire home/apt,106,150,2,2024-11-12,0.09,4,160,1,
72079,"Italian Design at Kudamm ,WiFi DSL free",261488,P. Charlotte,Charlottenburg-Wilm.,Kantstraße,52.5078,13.31867,Entire home/apt,85,4,108,2025-06-05,0.73,1,244,17,04/Z/ZA/003139-16
80843,Berlin City Studio,437628,Oliver,Charlottenburg-Wilm.,Schmargendorf,52.48074,13.28903,Entire home/apt,81,2,182,2025-06-15,1.05,2,5,14,04/Z/ZA/004240-16
81081,Beautiful Prenzlauer Berg Apt,425899,Bernd+Katja :-),Pankow,Prenzlauer Berg Nord,52.55064,13.41466,Entire home/apt,69,3,438,2025-06-15,2.54,1,51,35,03/Z/ZA/002447-16
83614,Spacious Prenzlauer Berg Apartment in Quiet Street,456085,Louis,Pankow,Helmholtzplatz,52.54720260822955,13.416090488433827,Entire home/apt,313,2,395,2025-01-03,2.28,2,303,10,03/Z/RA/007628-22
85560,Apartment 1 in Berlin,451311,Ruth,Mitte,Alexanderplatz,52.53036,13.38137,Entire home/apt,94,3,204,2025-06-06,1.65,1,245,30,01/Z/ZA/004234-16
86090,spacious and cozy living in PrenzlBerg,472567,Alexandra,Pankow,Prenzlauer Berg Nord,52.54715,13.42657,Entire home/apt,149,3,314,2025-05-31,1.84,3,263,36,03/Z/AZ/004499-19
89102,Bright loft in the Kastanienallee,485838,Michele,Pankow,Prenzlauer Berg Südwest,52.54048,13.41087,Entire home/apt,131,4,70,2024-08-22,0.41,4,6,2,03/Z/RA/009564-24
115576,Bed and Garden,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.58178,13.3962,Entire home/apt,90,2,50,2025-04-19,0.35,1,277,11,03/Z/ZA/001284-16
117649,F43 - your base for Berlin,594164,Ralph&Maria,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49989,13.4448,Entire home/apt,79,92,82,2020-04-30,0.48,1,130,0,
127708,Design Jewel in the midst of MITTE!,632174,Stéphanie,Mitte,Alexanderplatz,52.52536,13.40488,Entire home/apt,109,2,747,2025-06-01,4.50,6,258,56,01/Z/AZ/008752-18
135097,Near KaDeWe & Kurfürstendamm,662534,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.49944,13.34685,Entire home/apt,,1,306,2024-12-06,1.81,1,143,2,07/Z/ZE/003727-17
145249,Private Wing in Penthouse - Bedroom Bath & Terrace,1853661,Kirk,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51604,13.46059,Private room,,3,181,2025-06-09,1.16,1,5,17,02/Z/AZ/016832-23
